PC Pair,k,Silhouette
PC3-PC8,6,0.39585110274271107
PC3-PC8,7,0.39340224007508645
PC3-PC8,8,0.41219845768913393
PC3-PC8,9,0.38748185374078575
PC3-PC8,10,0.3909162910007108
PC3-PC9,3,0.4657252023710121
PC3-PC9,4,0.40227270293845746
PC3-PC9,5,0.3931423312389031
PC3-PC9,6,0.3853871911295269
PC3-PC9,7,0.39229290487856366
PC3-PC9,8,0.39958154430969384
PC3-PC9,9,0.4047653752589697
PC3-PC9,10,0.4130949616388807
PC3-PC10,3,0.4766457326599896
PC3-PC10,4,0.3217915333421424
PC3-PC10,5,0.384592739590748
PC3-PC10,6,0.392811366105697
PC3-PC10,7,0.4231298079981483
PC3-PC10,8,0.4245877022134005
PC3-PC10,9,0.41930927154315684
PC3-PC10,10,0.42516590921376207
PC4-PC5,3,0.3489353664755017
PC4-PC5,4,0.42554294299456075
PC4-PC5,5,0.4519729288963535
PC4-PC5,6,0.4491028983400456
PC4-PC5,7,0.44692882100005427
PC4-PC5,8,0.45363021752077887
PC4-PC5,9,0.4545216790576451
PC4-PC5,10,0.4731515235429018
PC4-PC6,3,0.4783168092459869
PC4-PC6,4,0.41186575820233284
PC4-PC6,5,0.43167306735648703
PC4-PC6,6,0.4307260623857314
PC4-PC6,7,0.43997795095139913
PC4-PC6,8,0.448317358823866
PC4-PC6,9,0.4555042435204364
PC4-PC6,10,0.4495866633554378
PC4-PC7,3,0.3824780616394051
PC4-PC7,4,0.38711475225671477
PC4-PC7,5,0.425546427650197
PC4-PC7,6,0.44149019026318453
PC4-PC7,7,0.4401688943074761
PC4-PC7,8,0.45660916356997805
PC4-PC7,9,0.42673810256976447
PC4-PC7,10,0.43760309330464403
PC4-PC8,3,0.37659254047970653
PC4-PC8,4,0.3929514102235669
PC4-PC8,5,0.42355723969501136
PC4-PC8,6,0.41875372184036697
PC4-PC8,7,0.40985852703375536
PC4-PC8,8,0.4168893821195377
PC4-PC8,9,0.40429163612940966
PC4-PC8,10,0.38469765878700907
PC4-PC9,3,0.4159912588268481
PC4-PC9,4,0.4468820333361475
PC4-PC9,5,0.4173935665455829
PC4-PC9,6,0.4272365364515774
PC4-PC9,7,0.43133057137195313
PC4-PC9,8,0.37798848862090667
PC4-PC9,9,0.4027469570040821
PC4-PC9,10,0.4076225125761454
PC4-PC10,3,0.4257753530878567
PC4-PC10,4,0.4517459417513052
PC4-PC10,5,0.44767821690390275
PC4-PC10,6,0.4245464517041084
PC4-PC10,7,0.4215266469415206
PC4-PC10,8,0.4529712355947693
PC4-PC10,9,0.41100739491236626
PC4-PC10,10,0.4154417632148637
PC5-PC6,3,0.39437378570415393
PC5-PC6,4,0.4346727694492177
PC5-PC6,5,0.38319265994209195
PC5-PC6,6,0.41307160283350475
PC5-PC6,7,0.4309344277415652
PC5-PC6,8,0.4210297611385695
PC5-PC6,9,0.4237793123629195
PC5-PC6,10,0.43948728513050095
PC5-PC7,3,0.36183791973664925
PC5-PC7,4,0.41211292791149773
PC5-PC7,5,0.4492821021414559
PC5-PC7,6,0.44987667768499995
PC5-PC7,7,0.4470394976245076
PC5-PC7,8,0.4644777687186199
PC5-PC7,9,0.47294419705017027
PC5-PC7,10,0.48754942072515445
PC5-PC8,3,0.3820214191492288
PC5-PC8,4,0.34860789262070413
PC5-PC8,5,0.3809952892359049
PC5-PC8,6,0.38831370768060847
PC5-PC8,7,0.3688463182811019
PC5-PC8,8,0.3799928250242692
PC5-PC8,9,0.38723636710310994
PC5-PC8,10,0.3856831405669121
PC5-PC9,3,0.4460739426858652
PC5-PC9,4,0.43227710371011957
PC5-PC9,5,0.44352830131334536
PC5-PC9,6,0.3881042761994157
PC5-PC9,7,0.38501211307499494
PC5-PC9,8,0.38576304005613216
PC5-PC9,9,0.384142666045972
PC5-PC9,10,0.3810971038411864
PC5-PC10,3,0.38914619636335274
PC5-PC10,4,0.4835104040505904
PC5-PC10,5,0.4326849133915248
PC5-PC10,6,0.44635512236166236
PC5-PC10,7,0.4116061060201484
PC5-PC10,8,0.4377109023454462
PC5-PC10,9,0.3868203282713003
PC5-PC10,10,0.3794696231458106
PC6-PC7,3,0.39248383756751465
PC6-PC7,4,0.3958269985371622
PC6-PC7,5,0.3821768609434291
PC6-PC7,6,0.3855850607681369
PC6-PC7,7,0.3927814016477521
PC6-PC7,8,0.40378167165801737
PC6-PC7,9,0.41836012083646384
PC6-PC7,10,0.4185080926293634
PC6-PC8,3,0.42018114787953165
PC6-PC8,4,0.4100621477265519
PC6-PC8,5,0.41745342313627243
PC6-PC8,6,0.38918329212424935
PC6-PC8,7,0.35907001255939613
PC6-PC8,8,0.352704554313479
PC6-PC8,9,0.35119541294534784
PC6-PC8,10,0.33322560097995424
PC6-PC9,3,0.44897676324711605
PC6-PC9,4,0.39111587529737163
PC6-PC9,5,0.397524764247153
PC6-PC9,6,0.3757325594366299
PC6-PC9,7,0.36175104195508145
PC6-PC9,8,0.357926033683197
PC6-PC9,9,0.3549553181736364
PC6-PC9,10,0.3683933659979078
PC6-PC10,3,0.4680033246256564
PC6-PC10,4,0.4404733978863574
PC6-PC10,5,0.3806396026130618
PC6-PC10,6,0.3811613710141216
PC6-PC10,7,0.3741062221917902
PC6-PC10,8,0.4010360425347573
PC6-PC10,9,0.38026081592766625
PC6-PC10,10,0.3891087708977259
PC7-PC8,3,0.31202356675085974
PC7-PC8,4,0.3342709458214888
PC7-PC8,5,0.3459894535911536
PC7-PC8,6,0.36654990683712424
PC7-PC8,7,0.3690923708310509
PC7-PC8,8,0.3562711246106984
PC7-PC8,9,0.3678104158349674
PC7-PC8,10,0.35532378273506937
PC7-PC9,3,0.4105806372472932
PC7-PC9,4,0.3672140707862812
PC7-PC9,5,0.3833037736677024
PC7-PC9,6,0.39216395106378044
PC7-PC9,7,0.406760670705608
PC7-PC9,8,0.407090493205381
PC7-PC9,9,0.3764015619754985
PC7-PC9,10,0.388597141066323
PC7-PC10,3,0.4171628349820499
PC7-PC10,4,0.3982685359809465
PC7-PC10,5,0.38503155201974604
PC7-PC10,6,0.43493375081149904
PC7-PC10,7,0.3823528068675935
PC7-PC10,8,0.4452266308834482
PC7-PC10,9,0.4406587989159308
PC7-PC10,10,0.42510142399468825
PC8-PC9,3,0.5843024157552603
PC8-PC9,4,0.40313663266680344
PC8-PC9,5,0.4145111178135396
PC8-PC9,6,0.3657472755853134
PC8-PC9,7,0.36452202304355036
PC8-PC9,8,0.3769357826869319
PC8-PC9,9,0.36890335220190007
PC8-PC9,10,0.3602995096421252
PC8-PC10,3,0.4030707550846905
PC8-PC10,4,0.44084676578130827
PC8-PC10,5,0.39205096875317924
PC8-PC10,6,0.4061745831155231
PC8-PC10,7,0.351235074058541
PC8-PC10,8,0.35438899109291366
PC8-PC10,9,0.3653807248031486
PC8-PC10,10,0.3487090739157459
PC9-PC10,3,0.6107511693724066
PC9-PC10,4,0.5823464663806266
PC9-PC10,5,0.33058600966454604
PC9-PC10,6,0.34113513953486135
PC9-PC10,7,0.3674830276354573
PC9-PC10,8,0.35934192764276324
PC9-PC10,9,0.3656951135339641
PC9-PC10,10,0.3711734693445669
