PC Pair,k,DBI
PC7-PC10,5,0.6901992468402401
PC7-PC10,6,0.6797595587153641
PC7-PC10,7,0.7778731938313082
PC7-PC10,8,0.6919178299104776
PC7-PC10,9,0.7139969415720917
PC7-PC10,10,0.7800294659254802
PC8-PC9,3,0.792111886150928
PC8-PC9,4,0.8575484243588173
PC8-PC9,5,0.7514819831465079
PC8-PC9,6,0.7833891043251188
PC8-PC9,7,0.7479707562477563
PC8-PC9,8,0.7172594141457813
PC8-PC9,9,0.7310708866159459
PC8-PC9,10,0.7545429251191382
PC8-PC10,3,0.7332010962105818
PC8-PC10,4,0.5644563361485495
PC8-PC10,5,0.6336813238153907
PC8-PC10,6,0.6435008263434571
PC8-PC10,7,0.7221272745316091
PC8-PC10,8,0.7295045433104476
PC8-PC10,9,0.7094772830239551
PC8-PC10,10,0.7415555535693258
PC9-PC10,3,0.6632425032407114
PC9-PC10,4,0.6773378465710174
PC9-PC10,5,0.8409744847455578
PC9-PC10,6,0.784202705298085
PC9-PC10,7,0.6832790010040141
PC9-PC10,8,0.7223798567584245
PC9-PC10,9,0.727909765339269
PC9-PC10,10,0.7189493837838323
